# R [Å] 	 single electron WF 	 density 	 V [a.u.]
0.00000e+00	6.51217e-10	8.48166e-19	0.00000e+00
1.23518e-02	5.66997e-02	6.42970e-03	-1.60173e+02
2.47036e-02	1.10638e-01	2.44815e-02	-7.91918e+01
3.70553e-02	1.61922e-01	5.24376e-02	-5.21863e+01
4.94071e-02	2.10656e-01	8.87520e-02	-3.86763e+01
6.17589e-02	2.56941e-01	1.32037e-01	-3.05657e+01
7.41107e-02	3.00873e-01	1.81050e-01	-2.51557e+01
8.64625e-02	3.42549e-01	2.34680e-01	-2.12896e+01
9.88142e-02	3.82059e-01	2.91939e-01	-1.83890e+01
1.11166e-01	4.19492e-01	3.51947e-01	-1.61326e+01
1.23518e-01	4.54933e-01	4.13928e-01	-1.43275e+01
1.35870e-01	4.88464e-01	4.77194e-01	-1.28508e+01
1.48221e-01	5.20164e-01	5.41142e-01	-1.16208e+01
1.60573e-01	5.50111e-01	6.05244e-01	-1.05808e+01
1.72925e-01	5.78377e-01	6.69040e-01	-9.69009e+00
1.85277e-01	6.05034e-01	7.32132e-01	-8.91910e+00
1.97628e-01	6.30149e-01	7.94176e-01	-8.24547e+00
2.09980e-01	6.53789e-01	8.54880e-01	-7.65213e+00
2.22332e-01	6.76016e-01	9.13994e-01	-7.12578e+00
2.34684e-01	6.96890e-01	9.71312e-01	-6.65592e+00
2.47036e-01	7.16470e-01	1.02666e+00	-6.23413e+00
2.59387e-01	7.34813e-01	1.07990e+00	-5.85360e+00
2.71739e-01	7.51970e-01	1.13092e+00	-5.50875e+00
2.84091e-01	7.67994e-01	1.17963e+00	-5.19495e+00
2.96443e-01	7.82935e-01	1.22597e+00	-4.90835e+00
3.08794e-01	7.96839e-01	1.26990e+00	-4.64571e+00
3.21146e-01	8.09752e-01	1.31140e+00	-4.40429e+00
3.33498e-01	8.21718e-01	1.35044e+00	-4.18173e+00
3.45850e-01	8.32778e-01	1.38704e+00	-3.97602e+00
3.58202e-01	8.42972e-01	1.42121e+00	-3.78544e+00
3.70553e-01	8.52340e-01	1.45297e+00	-3.60847e+00
3.82905e-01	8.60918e-01	1.48236e+00	-3.44379e+00
3.95257e-01	8.68740e-01	1.50942e+00	-3.29026e+00
4.07609e-01	8.75842e-01	1.53420e+00	-3.14686e+00
4.19960e-01	8.82254e-01	1.55675e+00	-3.01269e+00
4.32312e-01	8.88010e-01	1.57712e+00	-2.88695e+00
4.44664e-01	8.93137e-01	1.59539e+00	-2.76895e+00
4.57016e-01	8.97665e-01	1.61161e+00	-2.65804e+00
4.69368e-01	9.01622e-01	1.62584e+00	-2.55366e+00
4.81719e-01	9.05032e-01	1.63817e+00	-2.45529e+00
4.94071e-01	9.07922e-01	1.64865e+00	-2.36250e+00
5.06423e-01	9.10316e-01	1.65735e+00	-2.27484e+00
5.18775e-01	9.12236e-01	1.66435e+00	-2.19196e+00
5.31126e-01	9.13704e-01	1.66971e+00	-2.11351e+00
5.43478e-01	9.14742e-01	1.67351e+00	-2.03917e+00
5.55830e-01	9.15370e-01	1.67581e+00	-1.96868e+00
5.68182e-01	9.15608e-01	1.67668e+00	-1.90176e+00
5.80534e-01	9.15473e-01	1.67618e+00	-1.83818e+00
5.92885e-01	9.14984e-01	1.67439e+00	-1.77772e+00
6.05237e-01	9.14158e-01	1.67137e+00	-1.72019e+00
6.17589e-01	9.13012e-01	1.66718e+00	-1.66539e+00
6.29941e-01	9.11560e-01	1.66188e+00	-1.61317e+00
6.42292e-01	9.09818e-01	1.65554e+00	-1.56336e+00
6.54644e-01	9.07800e-01	1.64820e+00	-1.51582e+00
6.66996e-01	9.05520e-01	1.63993e+00	-1.47041e+00
6.79348e-01	9.02991e-01	1.63079e+00	-1.42702e+00
6.91700e-01	9.00227e-01	1.62082e+00	-1.38552e+00
7.04051e-01	8.97238e-01	1.61007e+00	-1.34581e+00
7.16403e-01	8.94037e-01	1.59860e+00	-1.30779e+00
7.28755e-01	8.90635e-01	1.58646e+00	-1.27140e+00
7.41107e-01	8.87042e-01	1.57369e+00	-1.23652e+00
7.53458e-01	8.83268e-01	1.56033e+00	-1.20306e+00
7.65810e-01	8.79325e-01	1.54642e+00	-1.17096e+00
7.78162e-01	8.75219e-01	1.53202e+00	-1.14013e+00
7.90514e-01	8.70962e-01	1.51715e+00	-1.11052e+00
8.02866e-01	8.66561e-01	1.50186e+00	-1.08207e+00
8.15217e-01	8.62025e-01	1.48617e+00	-1.05471e+00
8.27569e-01	8.57361e-01	1.47014e+00	-1.02839e+00
8.39921e-01	8.52577e-01	1.45378e+00	-1.00305e+00
8.52273e-01	8.47681e-01	1.43713e+00	-9.78663e-01
8.64625e-01	8.42679e-01	1.42022e+00	-9.55166e-01
8.76976e-01	8.37578e-01	1.40307e+00	-9.32522e-01
8.89328e-01	8.32384e-01	1.38573e+00	-9.10689e-01
9.01680e-01	8.27104e-01	1.36820e+00	-8.89631e-01
9.14032e-01	8.21743e-01	1.35052e+00	-8.69310e-01
9.26383e-01	8.16307e-01	1.33272e+00	-8.49694e-01
9.38735e-01	8.10802e-01	1.31480e+00	-8.30750e-01
9.51087e-01	8.05232e-01	1.29680e+00	-8.12449e-01
9.63439e-01	7.99602e-01	1.27873e+00	-7.94761e-01
9.75791e-01	7.93918e-01	1.26061e+00	-7.77660e-01
9.88142e-01	7.88183e-01	1.24247e+00	-7.61119e-01
1.00049e+00	7.82403e-01	1.22431e+00	-7.45115e-01
1.01285e+00	7.76580e-01	1.20615e+00	-7.29625e-01
1.02520e+00	7.70720e-01	1.18802e+00	-7.14626e-01
1.03755e+00	7.64826e-01	1.16992e+00	-7.00099e-01
1.04990e+00	7.58901e-01	1.15186e+00	-6.86023e-01
1.06225e+00	7.52950e-01	1.13387e+00	-6.72380e-01
1.07460e+00	7.46975e-01	1.11594e+00	-6.59152e-01
1.08696e+00	7.40980e-01	1.09810e+00	-6.46322e-01
1.09931e+00	7.34968e-01	1.08035e+00	-6.33875e-01
1.11166e+00	7.28941e-01	1.06271e+00	-6.21794e-01
1.12401e+00	7.22903e-01	1.04518e+00	-6.10066e-01
1.13636e+00	7.16856e-01	1.02776e+00	-5.98676e-01
1.14872e+00	7.10802e-01	1.01048e+00	-5.87611e-01
1.16107e+00	7.04745e-01	9.93331e-01	-5.76860e-01
1.17342e+00	6.98687e-01	9.76326e-01	-5.66409e-01
1.18577e+00	6.92629e-01	9.59469e-01	-5.56247e-01
1.19812e+00	6.86574e-01	9.42767e-01	-5.46364e-01
1.21047e+00	6.80524e-01	9.26226e-01	-5.36750e-01
1.22283e+00	6.74481e-01	9.09849e-01	-5.27393e-01
1.23518e+00	6.68447e-01	8.93642e-01	-5.18285e-01
1.24753e+00	6.62423e-01	8.77609e-01	-5.09417e-01
1.25988e+00	6.56412e-01	8.61753e-01	-5.00780e-01
1.27223e+00	6.50414e-01	8.46078e-01	-4.92365e-01
1.28458e+00	6.44432e-01	8.30586e-01	-4.84165e-01
1.29694e+00	6.38467e-01	8.15280e-01	-4.76173e-01
1.30929e+00	6.32520e-01	8.00164e-01	-4.68380e-01
1.32164e+00	6.26593e-01	7.85238e-01	-4.60781e-01
1.33399e+00	6.20687e-01	7.70504e-01	-4.53367e-01
1.34634e+00	6.14802e-01	7.55964e-01	-4.46134e-01
1.35870e+00	6.08941e-01	7.41619e-01	-4.39075e-01
1.37105e+00	6.03105e-01	7.27471e-01	-4.32184e-01
1.38340e+00	5.97293e-01	7.13519e-01	-4.25455e-01
1.39575e+00	5.91509e-01	6.99765e-01	-4.18884e-01
1.40810e+00	5.85751e-01	6.86208e-01	-4.12464e-01
1.42045e+00	5.80021e-01	6.72850e-01	-4.06191e-01
1.43281e+00	5.74321e-01	6.59689e-01	-4.00061e-01
1.44516e+00	5.68650e-01	6.46726e-01	-3.94068e-01
1.45751e+00	5.63010e-01	6.33961e-01	-3.88209e-01
1.46986e+00	5.57401e-01	6.21393e-01	-3.82479e-01
1.48221e+00	5.51824e-01	6.09020e-01	-3.76874e-01
1.49457e+00	5.46280e-01	5.96844e-01	-3.71390e-01
1.50692e+00	5.40769e-01	5.84862e-01	-3.66023e-01
1.51927e+00	5.35291e-01	5.73073e-01	-3.60771e-01
1.53162e+00	5.29848e-01	5.61477e-01	-3.55629e-01
1.54397e+00	5.24439e-01	5.50072e-01	-3.50594e-01
1.55632e+00	5.19065e-01	5.38857e-01	-3.45663e-01
1.56868e+00	5.13727e-01	5.27831e-01	-3.40832e-01
1.58103e+00	5.08425e-01	5.16992e-01	-3.36100e-01
1.59338e+00	5.03159e-01	5.06338e-01	-3.31463e-01
1.60573e+00	4.97930e-01	4.95868e-01	-3.26918e-01
1.61808e+00	4.92737e-01	4.85580e-01	-3.22462e-01
1.63043e+00	4.87582e-01	4.75473e-01	-3.18094e-01
1.64279e+00	4.82465e-01	4.65544e-01	-3.13811e-01
1.65514e+00	4.77385e-01	4.55793e-01	-3.09609e-01
1.66749e+00	4.72343e-01	4.46216e-01	-3.05488e-01
1.67984e+00	4.67339e-01	4.36812e-01	-3.01445e-01
1.69219e+00	4.62374e-01	4.27579e-01	-2.97477e-01
1.70455e+00	4.57447e-01	4.18515e-01	-2.93583e-01
1.71690e+00	4.52558e-01	4.09618e-01	-2.89760e-01
1.72925e+00	4.47709e-01	4.00886e-01	-2.86008e-01
1.74160e+00	4.42898e-01	3.92317e-01	-2.82323e-01
1.75395e+00	4.38126e-01	3.83908e-01	-2.78704e-01
1.76630e+00	4.33393e-01	3.75658e-01	-2.75150e-01
1.77866e+00	4.28699e-01	3.67565e-01	-2.71658e-01
1.79101e+00	4.24043e-01	3.59626e-01	-2.68228e-01
1.80336e+00	4.19428e-01	3.51839e-01	-2.64857e-01
1.81571e+00	4.14851e-01	3.44202e-01	-2.61545e-01
1.82806e+00	4.10313e-01	3.36713e-01	-2.58289e-01
1.84042e+00	4.05814e-01	3.29370e-01	-2.55088e-01
1.85277e+00	4.01354e-01	3.22170e-01	-2.51941e-01
1.86512e+00	3.96933e-01	3.15112e-01	-2.48847e-01
1.87747e+00	3.92551e-01	3.08193e-01	-2.45804e-01
1.88982e+00	3.88208e-01	3.01411e-01	-2.42811e-01
1.90217e+00	3.83904e-01	2.94764e-01	-2.39867e-01
1.91453e+00	3.79638e-01	2.88250e-01	-2.36971e-01
1.92688e+00	3.75411e-01	2.81867e-01	-2.34121e-01
1.93923e+00	3.71223e-01	2.75612e-01	-2.31317e-01
1.95158e+00	3.67072e-01	2.69484e-01	-2.28558e-01
1.96393e+00	3.62960e-01	2.63481e-01	-2.25842e-01
1.97628e+00	3.58887e-01	2.57599e-01	-2.23168e-01
1.98864e+00	3.54851e-01	2.51838e-01	-2.20536e-01
2.00099e+00	3.50853e-01	2.46195e-01	-2.17944e-01
2.01334e+00	3.46893e-01	2.40669e-01	-2.15393e-01
2.02569e+00	3.42970e-01	2.35256e-01	-2.12880e-01
2.03804e+00	3.39084e-01	2.29956e-01	-2.10405e-01
2.05040e+00	3.35236e-01	2.24767e-01	-2.07967e-01
2.06275e+00	3.31425e-01	2.19685e-01	-2.05566e-01
2.07510e+00	3.27651e-01	2.14710e-01	-2.03200e-01
2.08745e+00	3.23913e-01	2.09840e-01	-2.00869e-01
2.09980e+00	3.20212e-01	2.05072e-01	-1.98572e-01
2.11215e+00	3.16547e-01	2.00405e-01	-1.96309e-01
2.12451e+00	3.12919e-01	1.95836e-01	-1.94078e-01
2.13686e+00	3.09326e-01	1.91365e-01	-1.91880e-01
2.14921e+00	3.05769e-01	1.86989e-01	-1.89713e-01
2.16156e+00	3.02247e-01	1.82707e-01	-1.87576e-01
2.17391e+00	2.98761e-01	1.78516e-01	-1.85470e-01
2.18626e+00	2.95310e-01	1.74416e-01	-1.83394e-01
2.19862e+00	2.91893e-01	1.70403e-01	-1.81346e-01
2.21097e+00	2.88511e-01	1.66478e-01	-1.79327e-01
2.22332e+00	2.85164e-01	1.62637e-01	-1.77335e-01
2.23567e+00	2.81851e-01	1.58880e-01	-1.75371e-01
2.24802e+00	2.78572e-01	1.55204e-01	-1.73434e-01
2.26038e+00	2.75326e-01	1.51609e-01	-1.71523e-01
2.27273e+00	2.72114e-01	1.48092e-01	-1.69638e-01
2.28508e+00	2.68935e-01	1.44652e-01	-1.67779e-01
2.29743e+00	2.65789e-01	1.41288e-01	-1.65944e-01
2.30978e+00	2.62676e-01	1.37998e-01	-1.64133e-01
2.32213e+00	2.59596e-01	1.34780e-01	-1.62347e-01
2.33449e+00	2.56548e-01	1.31633e-01	-1.60584e-01
2.34684e+00	2.53531e-01	1.28556e-01	-1.58844e-01
2.35919e+00	2.50547e-01	1.25548e-01	-1.57127e-01
2.37154e+00	2.47594e-01	1.22606e-01	-1.55432e-01
2.38389e+00	2.44673e-01	1.19730e-01	-1.53759e-01
2.39625e+00	2.41783e-01	1.16918e-01	-1.52108e-01
2.40860e+00	2.38923e-01	1.14168e-01	-1.50477e-01
2.42095e+00	2.36094e-01	1.11481e-01	-1.48868e-01
2.43330e+00	2.33296e-01	1.08854e-01	-1.47279e-01
2.44565e+00	2.30527e-01	1.06285e-01	-1.45710e-01
2.45800e+00	2.27788e-01	1.03775e-01	-1.44160e-01
2.47036e+00	2.25079e-01	1.01321e-01	-1.42630e-01
2.48271e+00	2.22400e-01	9.89233e-02	-1.41120e-01
2.49506e+00	2.19749e-01	9.65794e-02	-1.39627e-01
2.50741e+00	2.17127e-01	9.42887e-02	-1.38154e-01
2.51976e+00	2.14534e-01	9.20500e-02	-1.36698e-01
2.53211e+00	2.11970e-01	8.98623e-02	-1.35261e-01
2.54447e+00	2.09433e-01	8.77244e-02	-1.33841e-01
2.55682e+00	2.06924e-01	8.56354e-02	-1.32438e-01
2.56917e+00	2.04443e-01	8.35941e-02	-1.31052e-01
2.58152e+00	2.01990e-01	8.15996e-02	-1.29683e-01
2.59387e+00	1.99563e-01	7.96508e-02	-1.28331e-01
2.60623e+00	1.97163e-01	7.77468e-02	-1.26995e-01
2.61858e+00	1.94790e-01	7.58866e-02	-1.25675e-01
2.63093e+00	1.92444e-01	7.40692e-02	-1.24370e-01
2.64328e+00	1.90123e-01	7.22938e-02	-1.23081e-01
